,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2001,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2001,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2001,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2001,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2001,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2001,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2001,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2001,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2001,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2001,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2001,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2001,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2001,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2001,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2001,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2001,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2001,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2001,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2001,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2001,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2001,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2001,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2001,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2001,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2002,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2002,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2002,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2002,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2002,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2002,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2002,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2002,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2002,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2002,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2002,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2002,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2002,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2002,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2002,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2002,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2002,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2002,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2002,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2002,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2002,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2002,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2002,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2002,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2002,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2002,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2002,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2002,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2002,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2002,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2002,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2002,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2002,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2002,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2002,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2003,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2003,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2003,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2003,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2003,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2003,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2003,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2003,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2003,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2003,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2003,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2003,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2003,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2003,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2003,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2003,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2003,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2003,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2003,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2003,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2003,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2003,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2003,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2003,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2003,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2003,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2003,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2003,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2003,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2003,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2003,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2003,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2003,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2003,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2003,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2004,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2004,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2004,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2004,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2004,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2004,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2004,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2004,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2004,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2004,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2004,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2004,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2004,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2004,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2004,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2004,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2004,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2004,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2004,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2004,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2004,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2004,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2004,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2004,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2004,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2004,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2004,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2004,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2004,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2004,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2004,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2004,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2004,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2004,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2004,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2005,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2005,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2005,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2005,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2005,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2005,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2005,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2005,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2005,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2005,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2005,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2005,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2005,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2005,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2005,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2005,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2005,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2005,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2005,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2005,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2005,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2005,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2005,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2005,Pacific Division
